State Code	County Name	 County Population 	Clinton or Trump State	 Clinton 	 Trump 
AL	Autauga County	 55 347 	Trump	 5 908 	 18 110 
AL	Baldwin County	 203 709 	Trump	 18 409 	 72 780 
AL	Barbour County	 26 489 	Trump	 4 848 	 5 431 
AL	Bibb County	 22 583 	Trump	 1 874 	 6 733 
AL	Blount County	 57 673 	Trump	 2 150 	 22 808 
AL	Bullock County	 10 696 	Trump	 3 530 	 1 139 
AL	Butler County	 20 154 	Trump	 3 716 	 4 891 
AL	Calhoun County	 115 620 	Trump	 13 197 	 32 803 
AL	Chambers County	 34 123 	Trump	 5 763 	 7 803 
AL	Cherokee County	 25 859 	Trump	 1 524 	 8 809 
AL	Chilton County	 43 943 	Trump	 2 909 	 15 068 
AL	Choctaw County	 13 170 	Trump	 3 109 	 4 102 
AL	Clarke County	 24 675 	Trump	 5 712 	 7 109 
AL	Clay County	 13 555 	Trump	 1 234 	 5 230 
AL	Cleburne County	 15 018 	Trump	 684 	 5 738 
AL	Coffee County	 51 211 	Trump	 4 194 	 15 825 
AL	Colbert County	 54 354 	Trump	 7 296 	 16 718 
AL	Conecuh County	 12 672 	Trump	 3 069 	 3 413 
AL	Coosa County	 10 724 	Trump	 1 780 	 3 376 
AL	Covington County	 37 835 	Trump	 2 379 	 13 222 
AL	Crenshaw County	 13 963 	Trump	 1 663 	 4 511 
AL	Cullman County	 82 005 	Trump	 3 730 	 32 734 
AL	Dale County	 49 565 	Trump	 4 408 	 13 798 
AL	Dallas County	 41 131 	Trump	 12 826 	 5 784 
AL	DeKalb County	 71 130 	Trump	 3 682 	 21 779 
AL	Elmore County	 81 468 	Trump	 8 436 	 27 619 
AL	Escambia County	 37 789 	Trump	 4 698 	 10 282 
AL	Etowah County	 103 057 	Trump	 10 350 	 32 132 
AL	Fayette County	 16 759 	Trump	 1 358 	 6 705 
AL	Franklin County	 31 696 	Trump	 2 197 	 9 466 
AL	Geneva County	 26 777 	Trump	 1 522 	 9 967 
AL	Greene County	 8 479 	Trump	 4 006 	 838 
AL	Hale County	 15 068 	Trump	 4 772 	 3 172 
AL	Henry County	 17 221 	Trump	 2 286 	 5 623 
AL	Houston County	 104 173 	Trump	 10 547 	 30 567 
AL	Jackson County	 52 419 	Trump	 3 663 	 16 643 
AL	Jefferson County	 660 367 	Trump	 151 581 	 130 614 
AL	Lamar County	 13 886 	Trump	 1 035 	 5 819 
AL	Lauderdale County	 92 596 	Trump	 9 877 	 27 735 
AL	Lawrence County	 33 115 	Trump	 3 611 	 10 732 
AL	Lee County	 156 993 	Trump	 20 987 	 34 321 
AL	Limestone County	 91 663 	Trump	 9 340 	 28 824 
AL	Lowndes County	 10 458 	Trump	 4 882 	 1 751 
AL	Macon County	 19 105 	Trump	 7 237 	 1 394 
AL	Madison County	 353 089 	Trump	 62 435 	 89 199 
AL	Marengo County	 20 028 	Trump	 5 607 	 5 224 
AL	Marion County	 30 168 	Trump	 1 432 	 11 273 
AL	Marshall County	 94 725 	Trump	 4 913 	 29 217 
AL	Mobile County	 415 395 	Trump	 68 429 	 91 087 
AL	Monroe County	 21 673 	Trump	 4 310 	 5 771 
AL	Montgomery County	 226 519 	Trump	 58 669 	 33 928 
AL	Morgan County	 119 565 	Trump	 11 216 	 37 392 
AL	Perry County	 9 652 	Trump	 3 823 	 1 403 
AL	Pickens County	 20 864 	Trump	 3 972 	 5 454 
AL	Pike County	 33 046 	Trump	 5 039 	 7 681 
AL	Randolph County	 22 696 	Trump	 2 290 	 7 697 
AL	Russell County	 59 660 	Trump	 9 577 	 9 210 
AL	St. Clair County	 87 074 	Trump	 5 550 	 31 579 
AL	Shelby County	 208 713 	Trump	 22 927 	 72 846 
