[0.3650194387025561, 0.4114646269182519, 0.16155921459219638, -0.5210703696042143, 0.4334036269351709, 0.4604381135664314]	[-0.38369695531931053, -0.1300401126024462, -0.6288533991204175, -0.3474087204307682, 0.5139021126623111, -0.23584193345883323]
[0.364874280757094, 0.4114629320802644, 0.1612968727073417, -0.5211818943461779, 0.4335612750315258, 0.4603720098132637]	[-0.3921148864247055, -0.08797091045317429, -0.6622418329369881, -0.33535676246884943, 0.48936388165241257, -0.21909272618444806]
[0.36498759578658957, 0.41149184345982776, 0.16148521162216461, -0.5210836880078749, 0.43341736895479893, 0.46043698645494785]	[0.3895086551780888, 0.11144696718157605, 0.6415401505716464, 0.34280638022540333, -0.5042133583077198, 0.22921930815858854]
[0.36510892216088686, 0.41151699619144516, 0.1616920203862177, -0.5209805232992836, 0.4332672291924952, 0.46050377826698796]	[0.38577147162960695, 0.12901660980987506, 0.6270930627377171, 0.3478017273562113, -0.5143755467366041, 0.23609559950066517]
[0.36491480392338693, 0.4114777817944414, 0.16136138597251862, -0.5211449835307984, 0.43350644366178676, 0.46039742997599803]	[0.3880334502277232, 0.11916211673245769, 0.635435255584433, 0.34482087992676547, -0.5084947256520711, 0.23234487760893655]
[-0.36494276891016575, -0.41147725271278307, -0.1614126661785204, 0.5211238094956409, -0.43347667574331283, -0.46040975650016497]	[0.4003175628985059, -0.006213506515820145, 0.7309408313887198, 0.30330928100575844, -0.4267196848310793, 0.17704952079568023]
[0.3649079578037707, 0.4114719964344029, 0.16135219888981914, -0.5211525845384847, 0.43351823376404136, 0.46039154099326374]	[0.40039419068738125, -0.016156586596042254, 0.7377405144171373, 0.29938497893650434, -0.41934044671886983, 0.1722922351521004]
[-0.36494554098700377, -0.4114812671615526, -0.16141516584844678, 0.5211200914640088, -0.4334706828703804, -0.46041294561227725]	[-0.3929813280950881, -0.08636443653366545, -0.6625753349447282, -0.3351787088313149, 0.48883299098261684, -0.21862828148911997]
[-0.3649455405211149, -0.4114812670487899, -0.16141516506918835, 0.5211200918655585, -0.4334706834577355, -0.46041294534806027]	[-0.3932035557916534, -0.08449316198465752, -0.6641081383443742, -0.3345938627887687, 0.4876607230802931, -0.2178215233265539]
[-0.36494550162765743, -0.4114812584430373, -0.16141509952905292, 0.5211201250617656, -0.43347073188159835, -0.46041292368214315]	[0.39281256386950253, 0.08776713419832168, 0.6614224723131861, 0.3356153587576036, -0.4897092714252861, 0.21923205373784832]
